year,county_name,contest_type,district_number,contest_title,result_type,party,candidate,total_votes,source_file
2020,Chilton,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,3138,2020-General-Chilton.xls
2020,Chilton,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,117,2020-General-Chilton.xls
2020,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,5601,2020-General-Clay.xls
2020,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,53,2020-General-Clay.xls
2020,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,1267,2020-General-Clay.xls
2020,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,10,2020-General-Clay.xls
2020,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,16,2020-General-Clay.xls
2020,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,9,2020-General-Clay.xls
2020,Clay,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,DEM,Adia Winfrey,1148,2020-General-Clay.xls
2020,Clay,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,5710,2020-General-Clay.xls
2020,Clay,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,1,2020-General-Clay.xls
2020,Clay,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,94,2020-General-Clay.xls
2020,Clay,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,4,2020-General-Clay.xls
2020,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,6484,2020-General-Cleburne.xls
2020,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,60,2020-General-Cleburne.xls
2020,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,675,2020-General-Cleburne.xls
2020,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,18,2020-General-Cleburne.xls
2020,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,10,2020-General-Cleburne.xls
2020,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,8,2020-General-Cleburne.xls
2020,Cleburne,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,DEM,Adia Winfrey,645,2020-General-Cleburne.xls
2020,Cleburne,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,6491,2020-General-Cleburne.xls
2020,Cleburne,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,1,2020-General-Cleburne.xls
2020,Cleburne,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,113,2020-General-Cleburne.xls
2020,Cleburne,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,4,2020-General-Cleburne.xls
2020,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,16899,2020-General-Coffee.xls
2020,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,264,2020-General-Coffee.xls
2020,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,5076,2020-General-Coffee.xls
