year,county_name,contest_type,district_number,contest_title,result_type,party,candidate,total_votes,source_file
2020,Marshall,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,33191,2020-General-Marshall.xls
2020,Marshall,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,435,2020-General-Marshall.xls
2020,Marshall,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,5943,2020-General-Marshall.xls
2020,Marshall,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,35,2020-General-Marshall.xls
2020,Marshall,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,61,2020-General-Marshall.xls
2020,Marshall,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,86,2020-General-Marshall.xls
2020,Marshall,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,5642,2020-General-Marshall.xls
2020,Marshall,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,33574,2020-General-Marshall.xls
2020,Marshall,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,13,2020-General-Marshall.xls
2020,Marshall,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,491,2020-General-Marshall.xls
2020,Marshall,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,27,2020-General-Marshall.xls
2020,Morgan,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,39664,2020-General-Morgan.xls
2020,Morgan,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,705,2020-General-Morgan.xls
2020,Morgan,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,13234,2020-General-Morgan.xls
2020,Morgan,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,67,2020-General-Morgan.xls
2020,Morgan,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,116,2020-General-Morgan.xls
2020,Morgan,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,119,2020-General-Morgan.xls
2020,Morgan,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",candidate,REP,Mo Brooks,41646,2020-General-Morgan.xls
2020,Morgan,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,10,2020-General-Morgan.xls
2020,Morgan,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,11389,2020-General-Morgan.xls
2020,Morgan,us_house,5,"UNITED STATES REPRESENTATIVE, 5TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,800,2020-General-Morgan.xls
2020,Pickens,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,5594,2020-General-Pickens.xls
2020,Pickens,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,40,2020-General-Pickens.xls
2020,Pickens,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,4022,2020-General-Pickens.xls
2020,Pickens,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,10,2020-General-Pickens.xls
2020,Pickens,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,23,2020-General-Pickens.xls
2020,Pickens,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,12,2020-General-Pickens.xls
2020,Pickens,us_house,7,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",candidate,DEM,Terri A. Sewell,5070,2020-General-Pickens.xls
2020,Pickens,us_house,7,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,4,2020-General-Pickens.xls
2020,Pickens,us_house,7,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,4285,2020-General-Pickens.xls
2020,Pickens,us_house,7,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,339,2020-General-Pickens.xls
2020,Randolph,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump Michael R. Penc,8559,2020-General-Randolph.xls
2020,Randolph,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,"Jo Jorgensen Jeremy ""Spike"" Coh",61,2020-General-Randolph.xls
2020,Randolph,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden Kamala D. Harri,2203,2020-General-Randolph.xls
2020,Randolph,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,14,2020-General-Randolph.xls
2020,Randolph,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,22,2020-General-Randolph.xls
2020,Randolph,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,14,2020-General-Randolph.xls
2020,Randolph,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,DEM,Adia Winfrey,2134,2020-General-Randolph.xls
2020,Randolph,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,8516,2020-General-Randolph.xls
2020,Randolph,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,9,2020-General-Randolph.xls
2020,Randolph,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,201,2020-General-Randolph.xls
2020,Randolph,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,12,2020-General-Randolph.xls
2020,Shelby,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,79700,2020-General-Shelby.xls
2020,Shelby,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,1462,2020-General-Shelby.xls
2020,Shelby,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,33268,2020-General-Shelby.xls
2020,Shelby,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,67,2020-General-Shelby.xls
2020,Shelby,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,248,2020-General-Shelby.xls
2020,Shelby,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,520,2020-General-Shelby.xls
2020,Shelby,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,REP,Gary Palmer,88447,2020-General-Shelby.xls
2020,Shelby,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,19,2020-General-Shelby.xls
2020,Shelby,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,24499,2020-General-Shelby.xls
2020,Shelby,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,2323,2020-General-Shelby.xls
2020,St. Clair,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,36166,2020-General-StClair.xls
2020,St. Clair,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,446,2020-General-StClair.xls
2020,St. Clair,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,7744,2020-General-StClair.xls
2020,St. Clair,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,44,2020-General-StClair.xls
2020,St. Clair,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,66,2020-General-StClair.xls
2020,St. Clair,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,85,2020-General-StClair.xls
2020,St. Clair,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,DEM,Adia Winfrey,7451,2020-General-StClair.xls
2020,St. Clair,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,36478,2020-General-StClair.xls
2020,St. Clair,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,24,2020-General-StClair.xls
2020,St. Clair,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,576,2020-General-StClair.xls
2020,St. Clair,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,22,2020-General-StClair.xls
2020,Talladega,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,22235,2020-General-Talladega.xls
2020,Talladega,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,247,2020-General-Talladega.xls
2020,Talladega,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,13138,2020-General-Talladega.xls
2020,Talladega,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,62,2020-General-Talladega.xls
2020,Talladega,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,54,2020-General-Talladega.xls
2020,Talladega,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,43,2020-General-Talladega.xls
2020,Talladega,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,DEM,Adia Winfrey,12709,2020-General-Talladega.xls
2020,Talladega,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,22727,2020-General-Talladega.xls
2020,Talladega,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,28,2020-General-Talladega.xls
2020,Talladega,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,294,2020-General-Talladega.xls
2020,Talladega,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,21,2020-General-Talladega.xls
2020,Tallapoosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,14963,2020-General-Tallapoosa.xls
2020,Tallapoosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,130,2020-General-Tallapoosa.xls
2020,Tallapoosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,5859,2020-General-Tallapoosa.xls
2020,Tallapoosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,23,2020-General-Tallapoosa.xls
2020,Tallapoosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,53,2020-General-Tallapoosa.xls
2020,Tallapoosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,39,2020-General-Tallapoosa.xls
2020,Tallapoosa,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,DEM,Adia Winfrey,5552,2020-General-Tallapoosa.xls
2020,Tallapoosa,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,15213,2020-General-Tallapoosa.xls
2020,Tallapoosa,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,7,2020-General-Tallapoosa.xls
2020,Tallapoosa,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,282,2020-General-Tallapoosa.xls
2020,Tallapoosa,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,11,2020-General-Tallapoosa.xls
2020,Tuscaloosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,51117,2020-General-Tuscaloosa.xls
2020,Tuscaloosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,927,2020-General-Tuscaloosa.xls
2020,Tuscaloosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,37765,2020-General-Tuscaloosa.xls
2020,Tuscaloosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,95,2020-General-Tuscaloosa.xls
2020,Tuscaloosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,154,2020-General-Tuscaloosa.xls
2020,Tuscaloosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,363,2020-General-Tuscaloosa.xls
2020,Tuscaloosa,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,6877,2020-General-Tuscaloosa.xls
2020,Tuscaloosa,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,23835,2020-General-Tuscaloosa.xls
2020,Tuscaloosa,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,4,2020-General-Tuscaloosa.xls
2020,Tuscaloosa,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,484,2020-General-Tuscaloosa.xls
2020,Tuscaloosa,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,22,2020-General-Tuscaloosa.xls
2020,Tuscaloosa,us_house,7,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",candidate,DEM,Terri A. Sewell,35642,2020-General-Tuscaloosa.xls
2020,Tuscaloosa,us_house,7,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,22,2020-General-Tuscaloosa.xls
2020,Tuscaloosa,us_house,7,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,21314,2020-General-Tuscaloosa.xls
2020,Tuscaloosa,us_house,7,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,2279,2020-General-Tuscaloosa.xls
2020,Walker,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,26002,2020-General-Walker.xls
2020,Walker,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,277,2020-General-Walker.xls
2020,Walker,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,4834,2020-General-Walker.xls
2020,Walker,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,43,2020-General-Walker.xls
2020,Walker,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,54,2020-General-Walker.xls
2020,Walker,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,57,2020-General-Walker.xls
2020,Walker,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,4755,2020-General-Walker.xls
2020,Walker,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,26147,2020-General-Walker.xls
2020,Walker,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,9,2020-General-Walker.xls
2020,Walker,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,354,2020-General-Walker.xls
2020,Walker,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,17,2020-General-Walker.xls
2020,Winston,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,10195,2020-General-Winston.xls
2020,Winston,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,102,2020-General-Winston.xls
2020,Winston,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,974,2020-General-Winston.xls
2020,Winston,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,13,2020-General-Winston.xls
2020,Winston,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,16,2020-General-Winston.xls
2020,Winston,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,13,2020-General-Winston.xls
2020,Winston,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,983,2020-General-Winston.xls
2020,Winston,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,10193,2020-General-Winston.xls
2020,Winston,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,2,2020-General-Winston.xls
2020,Winston,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,121,2020-General-Winston.xls
2020,Winston,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,14,2020-General-Winston.xls
2024,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,65,2024-General-Autauga.xls
2024,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,20484,2024-General-Autauga.xls
2024,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,48,2024-General-Autauga.xls
2024,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,7439,2024-General-Autauga.xls
2024,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,154,2024-General-Autauga.xls
2024,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,46,2024-General-Autauga.xls
2024,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,95,2024-General-Autauga.xls
2024,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,91,2024-General-Autauga.xls
2024,Autauga,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,DEM,Elizabeth Anderson,7432,2024-General-Autauga.xls
2024,Autauga,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,REP,Gary Palmer,20386,2024-General-Autauga.xls
2024,Autauga,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,5,2024-General-Autauga.xls
2024,Autauga,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,565,2024-General-Autauga.xls
2024,Autauga,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,34,2024-General-Autauga.xls
2024,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,11,2024-General-Bibb.xls
2024,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,7572,2024-General-Bibb.xls
2024,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,4,2024-General-Bibb.xls
2024,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,1619,2024-General-Bibb.xls
2024,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,35,2024-General-Bibb.xls
2024,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,9,2024-General-Bibb.xls
2024,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,12,2024-General-Bibb.xls
2024,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,16,2024-General-Bibb.xls
2024,Bibb,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,DEM,Elizabeth Anderson,1654,2024-General-Bibb.xls
2024,Bibb,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,REP,Gary Palmer,7486,2024-General-Bibb.xls
2024,Bibb,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,3,2024-General-Bibb.xls
2024,Bibb,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,123,2024-General-Bibb.xls
2024,Bibb,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,10,2024-General-Bibb.xls
2024,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,33,2024-General-Blount.xls
2024,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,25354,2024-General-Blount.xls
2024,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,39,2024-General-Blount.xls
2024,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,2576,2024-General-Blount.xls
2024,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,113,2024-General-Blount.xls
2024,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,37,2024-General-Blount.xls
2024,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,29,2024-General-Blount.xls
2024,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,48,2024-General-Blount.xls
2024,Blount,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert B. Aderholt,25499,2024-General-Blount.xls
2024,Blount,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,0,2024-General-Blount.xls
2024,Blount,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,2546,2024-General-Blount.xls
2024,Blount,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,176,2024-General-Blount.xls
2024,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,67,2024-General-Calhoun.xls
2024,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,34912,2024-General-Calhoun.xls
2024,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,84,2024-General-Calhoun.xls
2024,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,13194,2024-General-Calhoun.xls
2024,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,273,2024-General-Calhoun.xls
2024,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,102,2024-General-Calhoun.xls
2024,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,64,2024-General-Calhoun.xls
2024,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,123,2024-General-Calhoun.xls
2024,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,37429,2024-General-Calhoun.xls
2024,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,7,2024-General-Calhoun.xls
2024,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,10318,2024-General-Calhoun.xls
2024,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,1065,2024-General-Calhoun.xls
2024,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Chase Oliver,28,2024-General-Chambers.xls
2024,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,8711,2024-General-Chambers.xls
2024,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jill Stein,14,2024-General-Chambers.xls
2024,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Kamala D. Harris,5405,2024-General-Chambers.xls
2024,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Robert F. Kennedy Jr.,63,2024-General-Chambers.xls
2024,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,36,2024-General-Chambers.xls
2024,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,29,2024-General-Chambers.xls
2024,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,24,2024-General-Chambers.xls
